S.No,Question,Option A,Option B,Option C,Option D,CorrectOption,marks
1,What is phishing?,A method of improving internet speed,A cyberattack used to steal sensitive information,A type of antivirus software,A data backup technique,B,1
2,What type of information do phishing attacks usually try to steal?,Weather data,Public news articles,Passwords and banking details,Movie files,C,1
3,Which communication method is most commonly used in phishing attacks?,Email,Radio,Television,Newspapers,A,1
4,What is a common sign of a phishing email?,Professional language and correct spelling,Urgent message asking for immediate action,Verified company domain,Official security certificate,B,1
5,Phishing attackers often pretend to be:,Game developers,Trusted organizations or companies,School teachers,Random strangers,B,1
6,What should you check before clicking a link in an email?,The font style,The sender email address and link URL,The email color,The number of images,B,1
7,What is the safest action if you receive a suspicious email?,Click the link quickly,Reply with personal information,Ignore or report the email,Forward it to friends,C,1
8,Phishing websites usually try to look like:,Entertainment blogs,Legitimate websites,Weather websites,Gaming platforms only,B,1
9,Which technique is used by attackers to create panic in phishing messages?,Urgency or threats,Music and videos,Animations,Background colors,A,1
10,What does a fake login page try to collect?,Your browsing history,Your login credentials,Your internet speed,Your device battery level,B,1
11,What should you do if you accidentally click a phishing link?,Enter your password,Ignore it completely,Change passwords and report the incident,Share it with others,C,1
12,Which of the following helps protect against phishing attacks?,Using strong passwords,Ignoring software updates,Sharing passwords with friends,Disabling security settings,A,1
13,What is the main goal of phishing attackers?,To improve website traffic,To entertain users,To steal confidential information,To speed up networks,C,1
14,Which type of phishing specifically targets a particular individual or organization?,Clone phishing,Spear phishing,Voice phishing,SMS phishing,B,1
15,Which security practice reduces phishing risks the most?,Ignoring suspicious messages,Cybersecurity awareness and verification of sources,Clicking all links to test them,Using public WiFi for everything,B,1
